epoch,MAPE,MSE
0,1.0045549,374.10858
1,0.8478524,286.5904
2,1.5856357,267.26788
3,0.8887704,254.14088
4,0.8546894,226.47025
5,0.7962477,328.93036
6,0.8262494,292.24536
7,0.9417348,204.77475
8,0.70900035,162.82718
9,0.94713557,206.18121
10,1.078829,249.41982
11,0.94989693,276.28754
12,0.88001215,265.45764
13,0.827409,205.5755
14,1.0258737,186.29633
15,0.8430722,212.92102
16,1.1990217,226.2904
17,1.0466299,171.0718
18,1.1617758,162.66321
19,0.5560123,152.43161
20,0.62029815,94.3292
21,0.61040515,120.42549
22,0.37442142,66.52286
23,1.0603036,39.095245
24,0.5806962,66.51279
25,4.788499,618.33984
26,0.7957306,168.87611
27,1.0681078,287.67758
28,0.82811344,158.07446
29,0.5298413,56.751827
30,1.3863294,248.43605
31,0.88557833,104.666245
32,0.39735433,99.41145
33,0.47098082,72.21864
34,0.5254839,135.82257
35,0.4995606,123.34515
36,0.30064577,58.62687
37,0.29786623,91.82684
38,0.30463544,75.159744
39,0.37701035,93.135376
40,0.50248003,48.024204
41,0.76848674,54.99393
42,1.0967553,48.72972
43,0.4625142,50.042835
44,0.90744555,56.682274
45,0.6257582,57.464863
46,1.0423784,55.27614
47,0.608641,52.420185
48,1.3882656,59.908966
49,1.1779752,43.473145
50,0.88706636,29.50283
51,0.42705297,52.840027
52,0.4631334,38.26304
53,0.40692782,30.67341
54,0.66457963,34.369858
55,0.68418986,45.511528
56,0.71998453,62.91017
57,0.74354863,42.72954
58,0.38213658,56.447746
59,0.79804605,32.52518
60,0.6777695,53.054253
61,1.1223118,33.944897
62,1.3076596,45.65937
63,0.6288072,46.828083
64,0.4141705,31.874077
65,0.5591554,43.367188
66,0.9552597,34.307243
67,0.8220347,30.295452
68,0.71197677,29.170364
69,0.8346374,31.173653
70,0.52695537,41.10414
71,0.69676495,37.07569
72,0.6077962,29.791489
73,0.70092356,36.280792
74,0.7473619,39.79837
75,0.8904639,39.011097
76,0.7567687,36.681015
77,0.3235258,30.381622
78,0.5735254,44.756886
79,0.79361075,31.83161
80,0.82528627,45.29706
81,0.8784877,37.035995
82,0.6247161,38.039165
83,1.0006422,30.546173
84,0.68853545,31.931393
85,0.45188627,31.23268
86,1.0547035,41.761505
87,0.7975451,29.51625
88,1.1708434,35.07122
89,1.2519234,35.55104
90,0.36288312,27.238466
91,0.9829905,49.634434
92,0.6781094,27.11005
93,0.74851644,40.079178
94,0.46577966,21.498875
95,0.50470686,23.290318
96,1.0465237,39.329617
97,0.54546976,19.46903
98,0.53289235,34.38507
99,0.5982047,35.116547
100,0.39257836,30.777271
101,0.71172214,42.222748
102,0.54219455,19.188318
103,1.2518325,37.498283
104,0.5602994,24.908825
105,0.5348306,24.342093
106,0.62495595,30.180986
107,0.465204,20.002457
108,0.5472223,33.285862
109,1.3867235,28.672474
110,0.3688841,28.653893
111,0.6892848,34.77185
112,0.7777848,21.362232
113,0.52102774,36.24364
114,0.47038558,39.03135
115,0.7014029,31.64412
116,0.4423219,31.856964
117,0.9673253,30.32708
118,0.5813004,25.414845
119,0.87749153,21.442642
120,0.7624757,27.055885
121,0.4960332,16.855587
122,0.21469295,11.184706
123,0.7206702,19.742893
124,0.66140306,21.860245
125,0.909899,28.696886
126,0.5309567,32.082787
127,0.64222336,19.955402
128,0.5378196,27.13139
129,0.31396684,47.801975
130,0.8579521,21.206211
131,0.81700313,19.401428
132,0.49859986,31.436546
133,0.42150164,22.093153
134,0.8315642,35.801044
135,0.52236974,16.381748
136,0.47402847,13.242605
137,0.44655687,19.216793
138,0.40186474,27.56781
139,0.57156324,21.565727
140,0.18137452,10.118166
141,0.70785975,24.390701
142,0.92330873,13.443647
143,0.5645524,27.425976
144,0.7497778,19.672228
145,0.43089184,30.831436
146,0.44216728,24.208736
147,0.47045884,27.696548
148,1.2152715,49.5996
149,0.39756483,23.725925
150,0.5432349,45.31337
151,0.50086385,47.312073
152,0.738954,46.82941
153,0.6149031,45.37282
154,0.48457354,29.384195
155,0.45953393,32.633804
156,0.52870226,28.075592
157,0.47830728,29.181866
158,0.919983,46.340797
159,0.5867231,40.462074
160,1.074012,30.962416
161,0.466819,35.134544
162,0.60158086,32.510963
163,0.72816443,25.967878
164,0.8289626,23.284348
165,0.9165759,25.25505
166,0.68108237,21.35813
167,0.85981303,17.710163
168,0.28735745,27.467758
169,0.32806176,22.084764
170,0.55359507,15.649866
171,0.5295635,30.628479
172,0.6181912,41.638035
173,0.38267776,27.334911
174,0.37275028,31.90303
175,0.8119995,31.887152
176,0.5977139,28.23179
177,0.39912066,29.3557
178,0.705624,22.954811
179,0.69703877,27.704756
180,0.43079185,19.452171
181,0.5045116,39.714844
182,0.5005851,22.031631
183,0.44220728,20.41212
184,0.7947722,39.864452
185,0.7760309,18.13349
186,0.41630128,42.736946
187,0.5617168,32.84833
188,0.47228396,33.02545
189,0.45739502,30.634665
190,0.8240758,29.934082
191,0.44037294,23.610558
192,0.8275003,40.089653
193,0.542939,20.782299
194,0.28200155,22.54914
195,0.67500013,34.256016
196,0.7801181,28.641098
197,0.891785,25.006285
198,0.4182012,18.841343
199,1.1052414,20.682934
200,0.46577483,16.802694
201,0.37519187,25.938477
202,0.6934686,17.147118
203,0.5393267,21.003012
204,0.7835876,25.169836
205,0.81628776,30.045094
206,0.4321244,24.250137
207,0.50481886,37.60514
208,0.28579897,13.979288
209,0.564345,19.25391
210,0.48001313,38.435646
211,0.33398083,8.454435
212,0.58110213,25.036
213,0.6070632,23.295052
214,0.6943371,19.405401
215,1.1425793,34.89308
216,0.75021887,22.484388
217,0.37744474,30.664213
218,0.35209128,44.482178
219,0.56332004,20.354336
220,1.3448004,33.902138
221,0.6233722,19.274805
222,0.35144174,28.15809
223,0.6594701,39.673542
224,0.4756103,27.207312
225,0.48277637,27.646412
226,1.1417444,24.090492
227,1.1169772,36.16838
228,0.5648036,18.33854
229,0.49047816,22.263748
230,0.27811736,29.275372
231,0.5918727,30.053211
232,0.4017729,14.535129
233,0.61631775,28.259266
234,0.91274035,27.52018
235,0.5121016,24.69162
236,0.9642824,22.260477
237,0.90508044,32.982594
238,0.5981723,17.709446
239,0.43531775,13.762419
240,0.37303078,25.100985
241,0.6101879,21.19483
242,0.305094,24.750242
243,0.39422572,15.764166
244,0.64649075,15.894634
245,1.2524741,27.108818
246,0.8969993,22.399551
247,0.4881794,22.768755
248,0.48216125,17.733192
249,0.30852553,23.957737
250,0.7965001,20.492996
251,0.86762726,40.657795
252,0.4690815,22.653114
253,0.6618353,36.010113
254,0.21473864,12.34804
255,1.0735321,31.961533
256,0.8121451,21.494064
257,0.87527287,23.996109
258,0.4237234,31.145864
259,0.6461052,36.59394
260,0.6456047,13.028307
261,0.4013344,12.503227
262,0.20177509,15.375552
263,0.4754697,14.720379
264,0.564589,28.904827
265,0.4461483,17.03734
266,0.63483214,22.327295
267,0.61857796,19.77633
268,0.8169787,21.66309
269,0.756315,18.377403
270,0.537004,17.588554
271,0.41137493,19.635118
272,0.26830816,30.46532
273,0.71379143,23.346869
274,0.5590933,20.822361
275,0.5686891,23.07825
276,0.5325562,27.332792
277,0.46372795,37.923744
278,0.33453548,26.821306
279,0.9060379,29.048199
280,0.9050906,33.44198
281,0.6965128,22.966537
282,0.34991792,40.168407
283,0.32400852,31.35273
284,0.5737232,29.825752
285,0.7817822,21.035746
286,0.32618573,44.00042
287,1.5064492,26.964462
288,0.8494544,38.970932
289,0.51697314,43.621006
290,0.7548256,23.355742
291,0.9689968,27.237026
292,0.96663284,23.501244
293,0.28217998,27.018047
294,0.33317843,43.94798
295,0.4685617,47.92964
296,0.26589954,23.994251
297,0.50764054,35.857147
298,0.9725485,33.76603
299,0.87029874,18.851923
300,0.41886073,19.51332
301,0.373535,27.993454
302,0.5635934,29.297453
303,0.88101953,39.252014
304,0.89875776,25.499004
305,0.74982774,28.363016
306,0.7057811,18.129501
307,0.33137,29.27441
308,0.50203645,24.170036
309,0.8826058,19.285786
310,0.600532,43.472206
311,0.5964888,56.463654
312,0.22513424,29.341
313,0.5485379,53.465813
314,0.67844033,30.576853
315,0.73375696,22.317287
316,1.081883,33.56311
317,0.90638375,41.37432
318,0.87437236,18.881054
319,0.46524656,35.381065
320,0.34148955,16.306055
321,0.33890218,20.059067
322,0.39729536,18.419277
323,0.64033824,19.470522
324,0.48653162,23.798481
325,0.49185663,14.107757
326,0.3195027,36.346817
327,0.45745546,23.891006
328,0.42077702,18.392723
329,0.58867115,17.81124
330,0.8930223,18.596184
331,0.58946836,21.882587
332,0.7600497,21.76989
333,0.2828148,15.108863
334,0.73164994,21.04395
335,0.32706046,17.390461
336,0.48736715,17.747252
337,0.41606817,32.008793
338,0.40978473,10.912977
339,0.4902733,20.77193
340,0.45667678,15.311827
341,0.4899679,17.60242
342,0.5411234,17.25478
343,0.62457377,25.903208
344,0.44393542,21.741299
345,0.26455864,21.16907
346,0.5605813,13.674409
347,0.38470826,13.37914
348,0.83722293,32.50463
349,0.6087496,16.425451
350,0.43727905,22.833595
351,0.36622185,17.333199
352,0.7476997,13.42301
353,0.5147801,16.76541
354,0.66006756,15.99717
355,0.64605856,27.816145
356,0.3050385,17.198563
357,0.42192307,18.05407
358,0.46039438,17.861263
359,0.628406,19.163952
360,0.33713883,13.465093
361,0.80619276,17.579401
362,0.40078378,18.128876
363,0.47882956,23.95273
364,0.47318664,18.885069
365,0.9649439,20.09032
366,0.5240517,14.248536
367,0.860732,20.631609
368,0.30192477,9.756746
369,0.33759248,14.73525
370,0.6467823,24.298222
371,0.6614436,12.279039
372,0.3078258,9.995724
373,0.36704475,19.017635
374,0.46824703,20.628857
375,0.87318814,20.35698
376,0.6713386,18.058186
377,0.54320264,16.541998
378,0.9249039,19.368431
379,0.49707046,21.341972
380,0.340046,10.728113
381,0.28568947,10.5107765
382,0.7743995,29.400293
383,0.3113137,17.817223
384,0.25880995,11.816889
385,0.8488435,14.27387
386,0.5451574,13.95602
387,0.5781543,19.950485
388,0.3313563,15.876284
389,0.529647,17.455067
390,0.5753262,13.991367
391,0.5985562,20.639385
392,0.399452,13.166075
393,0.48289722,15.097195
394,0.37772954,12.936113
395,0.7439095,17.657547
396,0.3989609,12.300924
397,0.68031704,17.455435
398,0.46252763,17.323631
399,0.35309762,15.169142
400,0.7208462,19.581379
401,0.4812342,18.337564
402,0.43061867,27.07174
403,0.5736636,17.599007
404,1.2951196,40.300743
405,0.5064484,21.182245
406,0.28662166,32.42182
407,0.40334076,24.56381
408,0.7363911,14.899807
409,0.9338529,34.11319
410,0.7470972,18.816744
411,0.3366922,22.17675
412,0.37142384,20.075842
413,0.36373025,12.664898
414,0.3375649,21.498535
415,0.6535778,20.5975
416,0.44452447,14.371029
417,0.20346317,27.35497
418,0.5393783,16.940567
419,0.65811485,15.418212
420,0.4763911,14.462242
421,0.49035367,12.239157
422,0.2586379,8.871276
423,0.34718657,17.655846
424,0.79271865,16.762358
425,0.44816285,14.242674
426,0.546043,13.08176
427,0.29008773,15.348686
428,0.600834,18.763569
429,0.24860995,13.252451
430,0.8389776,17.991184
431,0.6098037,12.13395
432,0.56820226,18.68474
433,0.5883057,12.200052
434,0.33132783,16.537085
435,0.34796292,10.87768
436,0.49123353,16.672699
437,0.7709397,14.297292
438,0.6892118,16.174505
439,0.29085338,18.561035
440,0.7779329,17.724567
441,0.45507288,16.472624
442,0.5696237,10.435551
443,1.0759412,18.860512
444,0.6538621,14.911075
445,0.34736425,26.571213
446,0.2590412,20.925095
447,0.4071776,12.746461
448,0.62030894,38.72424
449,1.048251,39.542767
450,0.83163214,37.766953
451,0.6439835,84.768005
452,0.76199555,23.509953
453,0.81897724,83.8086
454,0.46708095,26.302904
455,0.7909018,24.51528
456,0.6223568,58.959045
457,0.44769275,22.698832
458,1.0798652,34.587547
459,0.5178259,33.420406
460,0.58553994,27.073494
461,0.4816723,38.413467
462,0.37668806,32.41031
463,0.4948853,17.221527
464,0.82290494,24.544132
465,0.4315972,24.078022
466,0.54332757,18.600548
467,0.40839285,12.252312
468,0.5810418,27.567514
469,0.3198283,24.285917
470,0.6483496,14.876583
471,0.5498686,21.467054
472,0.33879092,24.19756
473,0.56266296,31.653725
474,0.41674572,13.770415
475,0.3540451,20.740643
476,0.42370343,22.618227
477,0.40257353,11.938011
478,0.7290237,25.579746
479,0.6260261,19.884256
480,0.60531324,14.300343
481,0.39007717,25.925085
482,0.37847245,15.733207
483,0.5757444,21.404713
484,0.66569495,30.957314
485,0.4274669,16.563885
486,0.66828,22.08205
487,0.45208874,21.700474
488,0.59637314,18.384298
489,0.43141878,17.99668
490,0.42042744,17.651812
491,0.9557718,20.518536
492,0.259055,11.981007
493,0.79131794,17.237068
494,0.61955994,13.274986
495,0.28765738,21.770298
496,0.34814495,10.367548
497,0.50305057,15.98962
498,0.7218206,19.767946
499,0.6273132,21.409153
500,0.7398501,23.36307
501,0.7547967,13.166849
502,0.75282353,18.16513
503,0.44165987,19.752777
504,0.23855732,16.263113
505,0.383305,17.89436
506,0.44871968,17.493435
507,0.7903021,14.925538
508,0.90256613,17.53734
509,0.8304044,13.468027
510,0.44366217,11.039951
511,0.38334978,18.631128
512,0.45019722,17.276024
513,0.45682487,19.95927
514,0.46313646,10.301945
515,0.40730593,16.971384
516,0.4456169,11.908405
517,0.3342876,12.414925
518,0.6359974,18.314648
519,0.37552464,16.942665
520,0.7486428,15.389245
521,0.70787793,14.17484
522,0.4301852,18.268185
523,0.5204483,14.783541
524,0.5550073,12.495855
525,0.25916845,9.777992
526,0.39782202,20.325806
527,0.3503112,8.424461
528,0.37960696,12.413607
529,0.27691618,12.659175
530,0.68909484,10.866959
531,0.27822727,11.680929
532,0.92747974,20.15285
533,0.38325346,16.317963
534,0.47596043,8.631453
535,0.5553058,11.29622
536,0.2827454,9.129793
537,0.23216653,10.454462
538,0.31852376,12.707963
539,0.746147,19.95691
540,0.87954044,15.601812
541,0.36742094,10.068815
542,0.78210723,13.32056
543,0.56389594,15.015952
544,0.6249454,15.0737915
545,0.66027045,16.024342
546,0.27776694,5.8696327
547,0.29638556,14.8240185
548,0.4014725,8.667255
549,0.47503886,11.88628
550,0.3754906,16.793333
551,0.45574057,10.554876
552,0.48511517,15.6190405
553,0.3046318,12.63402
554,0.2589144,10.612564
555,0.5340595,10.425793
556,0.64754283,11.452688
557,0.36934167,12.61087
558,0.6437047,14.948
559,0.3956902,12.241573
560,0.3479756,9.491553
561,0.5255176,15.833144
562,0.53583664,16.204334
563,0.58891916,16.628656
564,0.7035786,11.106985
565,0.59835577,11.605732
566,0.25457573,12.134819
567,0.3859128,17.71432
568,0.3896294,11.164261
569,0.28781533,6.109296
570,0.27807632,9.528237
571,0.508657,14.900275
572,0.30574238,9.585184
573,0.82082355,17.292585
574,1.0696173,14.942659
575,0.45954907,15.873378
576,0.34271136,14.430713
577,0.46211758,17.662231
578,0.53620684,12.984446
579,0.8311987,14.49846
580,0.8461827,12.624975
581,0.38505834,10.612825
582,0.8140479,14.982523
583,0.30970883,10.857616
584,0.41016275,9.887285
585,0.3484856,10.820337
586,0.19246015,7.423007
587,0.22036898,15.214756
588,0.15847054,13.200308
589,0.5961338,11.020802
590,0.46208853,8.044411
591,0.5817535,12.937386
592,0.80850494,9.997524
593,0.32972413,7.183237
594,0.5546394,9.645075
595,0.1629275,9.079675
596,0.320166,14.579221
597,0.4380989,8.538494
598,0.596538,11.697939
599,0.44025987,12.152368
600,0.75044626,9.671881
601,0.3322941,8.495415
602,0.7466412,17.27922
603,0.64167416,13.326822
604,0.22970101,12.740644
605,0.18211135,8.287844
606,0.34795552,9.365518
607,0.33196345,5.993854
608,0.2926011,9.099238
609,0.4993022,6.9396806
610,0.27745813,8.949637
611,0.3650346,5.7521057
612,0.29574627,8.535096
613,0.28274027,12.035913
614,0.56882,15.748828
615,0.52752864,9.508014
616,0.6374561,8.981982
617,0.273979,7.561976
618,0.37370968,6.4647465
619,0.71234345,12.035273
620,0.3992485,6.5176907
621,0.4538409,5.8138204
622,0.47137874,16.656794
623,0.31530693,8.470365
624,0.37921578,9.546175
625,0.15017292,10.479458
626,0.33474514,8.287425
627,0.7214631,10.715406
628,1.1467683,18.75874
629,0.43082142,8.129243
630,0.2350303,12.156446
631,0.27854404,13.193693
632,0.18880579,19.887348
633,0.29548094,7.1663237
634,0.48435897,7.5859036
635,0.46700054,9.25234
636,0.55124414,28.546469
637,1.3103151,27.382526
638,0.5768254,11.897762
639,0.43740553,9.389538
640,0.24826953,19.092276
641,0.23108104,10.281058
642,0.32511175,9.180452
643,0.28815633,7.2612834
644,0.34230405,10.853751
645,0.3536973,7.14139
646,0.20233256,7.048955
647,0.39813468,9.834209
648,0.95739436,14.130945
649,0.9541088,10.055835
650,0.20341133,8.921519
651,0.7028133,8.414659
652,0.3306322,16.544659
653,0.27281716,6.007436
654,0.265782,9.364803
655,0.43808028,8.691837
656,0.4405057,13.134944
657,0.79927635,10.100278
658,0.21931702,4.035863
659,0.5301621,9.105318
660,0.79399705,12.43951
661,0.46892235,10.4285965
662,0.22251913,13.811305
663,0.21734622,12.23634
664,0.28915706,5.890626
665,0.47299123,16.208138
666,0.30096647,6.267704
667,0.23484758,6.2789373
668,0.35276496,12.049609
669,0.28731567,8.382994
670,0.31233844,7.3614907
671,0.36242974,10.952369
672,0.2626509,4.7223864
673,0.59856594,11.383844
674,0.3014267,9.338143
675,0.30825314,13.884924
676,0.6803313,9.183521
677,0.24464801,5.2110124
678,0.19783549,7.6641994
679,0.48052233,5.275093
680,0.7771102,8.926109
681,0.20100743,2.303531
682,0.32873955,5.670664
683,0.37749946,5.379726
684,0.24218763,7.9672475
685,0.25154203,5.060628
686,0.3091586,8.115987
687,0.33373392,6.3066053
688,0.8421964,12.067326
689,0.4716912,4.722723
690,0.1033203,6.416692
691,0.25755495,2.48554
692,0.1697141,8.549139
693,0.18199398,7.5465965
694,0.4592068,9.597486
695,0.2016022,7.535507
696,0.6893128,10.704246
697,0.13968727,16.79728
698,0.642411,7.232724
699,0.5231737,12.135317
700,0.15198211,10.669605
701,0.5638207,19.599842
702,0.20364122,12.492052
703,0.3821327,10.502391
704,0.6280468,7.5669723
705,0.47509342,6.7978206
706,0.7703147,18.632944
707,0.9339897,20.11897
708,0.5357311,11.0127325
709,0.38684377,8.0218115
710,0.2428518,8.924568
711,0.22812098,16.684948
712,0.17906892,13.886604
713,0.3762207,16.314304
714,0.105174705,6.4546824
715,0.52707803,12.132738
716,1.0749829,20.795794
717,0.4931309,17.357866
718,0.74946225,10.676322
719,0.77008736,7.654763
720,0.42470038,8.560333
721,0.24730584,19.43628
722,0.35651827,10.731037
723,0.27522293,11.761545
724,0.16773394,15.88717
725,0.47643173,8.082393
726,0.79212654,15.393227
727,0.8929874,11.811401
728,0.52348924,28.189877
729,0.40606827,6.1262364
730,0.6069952,13.479242
731,0.4349804,9.3910265
732,0.2613412,8.13251
733,0.2256267,23.42709
734,0.21732198,7.854104
735,0.52919316,7.828206
736,0.92802787,17.173931
737,0.22396046,13.56266
738,0.3079504,27.686739
739,0.33271283,10.401989
740,0.20923607,5.6190147
741,0.34330022,24.759907
742,0.30376226,9.159811
743,0.92871416,13.3036
744,0.3742175,16.22532
745,0.40387654,19.209177
746,0.39477783,6.6037936
747,1.1937603,28.988789
748,0.4240983,8.669313
749,0.38135877,8.405226
750,0.33588836,7.179878
751,0.3330102,14.448923
752,0.17095312,10.536001
753,0.75441253,20.0144
754,0.8938333,19.47797
755,0.21104027,7.301407
756,0.29571447,6.991598
757,0.23742619,27.918056
758,0.17116448,8.72852
759,0.6121652,21.867062
760,0.85169214,28.807726
761,0.13585907,7.862912
762,0.19916257,7.676412
763,0.40360826,26.64808
764,0.3057321,6.701519
765,0.67768884,8.490115
766,0.65611404,18.367512
767,0.2589588,14.378874
768,0.2679081,10.030582
769,0.20752311,13.486207
770,0.2661171,13.507988
771,0.25143054,4.5924044
772,0.7352723,23.101112
773,0.43134323,7.9514074
774,0.46795857,4.9883733
775,0.21515843,8.673835
776,0.27513108,16.77516
777,0.43753403,5.1721816
778,0.48655182,14.0759735
779,0.35952437,13.557528
780,0.25044066,3.2207737
781,0.32673678,15.328137
782,0.3963499,7.6070137
783,0.7414464,9.286273
784,0.6798278,6.880311
785,0.21843033,6.1543083
786,0.1991778,9.354829
787,0.100088626,11.414688
788,0.40759683,9.77976
789,0.29191396,5.0355206
790,0.098997846,3.1279879
791,0.23535362,7.391336
792,1.1051925,12.821368
793,0.2634318,4.87142
794,0.23274988,4.2691
795,0.18851906,4.380291
796,0.14897752,5.8273635
797,0.2393146,11.954243
798,0.2001876,11.9506035
799,0.10967971,7.0803976
800,0.8172102,11.063652
801,0.90240955,14.19172
802,1.1663967,15.882798
803,0.33374408,8.841951
804,0.38638356,6.279068
805,0.14211778,2.4028513
806,0.22963062,12.239624
807,0.3337364,6.503003
808,0.1180129,9.507618
809,0.6320799,7.0821004
810,0.4786591,7.0329056
811,0.26976427,4.863675
812,0.25706956,5.6142645
813,0.94894665,20.571375
814,0.6476835,8.911561
815,0.25068974,13.550411
816,0.21226934,15.883444
817,0.41299272,3.6239243
818,0.20891583,11.229858
819,0.81986135,17.020142
820,0.31162676,5.440033
821,0.21927749,13.537377
822,0.27286074,13.966137
823,0.24132831,2.9838772
824,1.024698,21.192348
825,0.45045555,10.171635
826,0.10918191,2.144022
827,0.30634016,7.2863417
828,0.40253872,9.798394
829,0.17436925,3.787611
830,0.17066357,2.4017515
831,0.32062477,6.2977076
832,0.32489377,8.549249
833,0.41048008,5.5795565
834,0.15838651,5.263933
835,0.25308195,11.8828
836,0.9087349,13.371163
837,0.33931738,7.6030073
838,0.37308,4.965232
839,0.31392083,3.494362
840,0.19466063,10.807539
841,0.24739555,2.3637846
842,0.35934243,7.4687014
843,0.21527675,10.389202
844,0.19417307,4.0286093
845,0.25640857,6.440363
846,0.6179937,8.010467
847,0.33107296,8.388021
848,0.3534496,5.145809
849,0.4860977,7.3593707
850,0.5140428,9.350081
851,0.066930145,6.3385925
852,0.59052145,8.008335
853,0.7235804,10.246282
854,0.5020922,6.2999115
855,0.08499542,4.9085126
856,0.60016346,4.4750366
857,0.31314063,12.647993
858,0.35587484,7.558881
859,0.11676801,4.5624886
860,0.83132774,19.198448
861,0.4296953,2.7232034
862,0.19273338,11.495673
863,0.26231822,15.618689
864,0.30153388,3.8234642
865,0.82533795,17.989285
866,0.36584258,4.9497867
867,0.168394,5.411316
868,0.5365219,9.275518
869,0.15407601,5.2870917
870,0.26937044,2.8746393
871,1.0662441,11.764202
872,0.16962609,6.1674128
873,0.2845698,4.6876554
874,0.31468582,9.762917
875,0.40413284,6.741582
876,0.27955797,6.5427494
877,0.20390463,3.583552
878,0.35115764,3.2542999
879,0.21819033,3.688354
880,0.11952101,2.3815932
881,0.8704314,8.374168
882,0.35886106,2.9654412
883,0.25397778,2.520756
884,0.36630893,9.102788
885,0.15958433,12.1317215
886,0.09348802,7.3876705
887,0.21587367,2.5787969
888,0.49619055,8.262526
889,0.436659,11.608578
890,0.46506125,6.1540422
891,0.19877271,3.7346525
892,0.1219836,2.5419984
893,0.22709185,2.4569235
894,0.13609418,5.82756
895,0.095015615,7.3491716
896,0.20749135,4.886954
897,0.1178866,0.98711663
898,0.23075725,3.9924622
899,0.90152854,11.712259
900,0.087643035,3.884945
901,0.1400781,6.267377
902,0.21507701,3.538999
903,0.70937574,12.022694
904,0.33823657,6.8052206
905,0.12786967,2.2116258
906,0.4240315,26.562147
907,0.47812572,15.52725
908,0.49093917,9.35614
909,0.46150386,7.535214
910,0.33774105,7.9617305
911,0.42048952,5.8478804
912,1.1501522,20.249886
913,0.37583867,17.374973
914,0.30638766,5.120009
915,0.15563795,8.720865
916,0.17401753,11.520392
917,0.37448138,22.962063
918,0.2109449,15.20595
919,0.28899246,17.501413
920,0.31717202,18.739233
921,0.58964884,7.748801
922,0.6480644,19.086323
923,0.5511087,16.088375
924,0.15341587,3.9913735
925,0.5039948,13.455569
926,0.48021555,8.031944
927,0.33814085,4.380393
928,0.29364818,9.446037
929,0.21917689,12.040236
930,0.32912958,14.15308
931,0.57876945,10.997946
932,0.65472317,10.935243
933,0.30161282,7.9866695
934,0.39638233,4.1992135
935,0.59029984,8.511454
936,0.5597619,9.266598
937,0.6390567,11.245801
938,0.37634414,8.503763
939,0.22945134,13.133614
940,0.21941902,6.3745604
941,0.37762555,5.8556795
942,0.6399574,11.909488
943,0.48198348,7.676065
944,0.13105477,8.486128
945,0.2632717,5.636419
946,0.19801354,7.120555
947,0.4922827,12.415086
948,0.5616604,8.110819
949,0.47753096,4.4083333
950,0.2182269,8.088945
951,0.13485141,4.6981726
952,0.6878657,6.9425597
953,0.29712242,4.998018
954,0.16922045,2.2517443
955,0.2740956,6.238304
956,0.26725984,4.1587276
957,0.6266072,10.072605
958,0.39569443,7.314494
959,0.42813265,5.571374
960,0.3909199,3.6501925
961,0.5955502,7.776108
962,0.20176435,10.628462
963,0.1483115,7.2207756
964,0.51964176,6.8922234
965,0.32909942,7.8115396
966,0.3524202,5.1239834
967,0.47276455,5.835509
968,0.2187638,6.556046
969,0.5221961,14.123835
970,0.100296885,6.697283
971,0.13770431,6.740572
972,0.44848722,6.9650264
973,0.15688443,1.7686645
974,0.20301872,14.706874
975,0.4120971,10.55373
976,0.29479605,6.668725
977,0.75782204,7.835762
978,1.0743357,13.640147
979,0.58412576,7.4996653
980,0.17331286,5.3857765
981,0.10042383,2.6546774
982,0.7243289,7.1644516
983,0.08829953,3.6200652
984,0.3025072,7.2549763
985,0.31289816,9.606218
986,0.16753137,2.7881298
987,0.07620576,2.6011558
988,0.21164982,4.912258
989,0.2155669,3.1953688
990,0.25746346,4.127214
991,0.23082842,2.8434982
992,0.5014598,8.045315
993,0.23220319,5.8043537
994,0.23738074,4.7375593
995,0.123604715,5.912977
996,0.24855879,5.148176
997,0.57284355,11.357766
998,0.15253095,2.9838915
999,0.20456071,5.194777
1000,0.12446444,3.817696
